,noise,distortion,hdToTestRobustTime,hdToTestTime,avSurfDistToTestTime,myRobustHdTime,myHdTime,mymedianHdTime,olivieraTime,hdToTestRobustValue,hdToTestValue ,myRobustHdValue,myHdValue,mymeanHdValue,olivieraValue,avSurfDistToTestValue,WIDTH,HEIGHT,DEPTH,hdToTestValue,translations
10,0.0,0.0,1.8937767000000179,1.9582977000000028,1.9353464000000145,0.04235109999999054,0.01323590000001218,0.015433099999995648,0.1745664,28.903597132648677,156.556698994326,25.0,60.0,7.021943092346191,61.0,84.88179969141953,336.0,250.0,371.0,156.556698994326,0.0
11,0.0,0.0,5.701623400000017,5.644740500000012,5.615793800000006,0.039691849999996975,0.032188100000041686,0.02137725000000046,0.2151557,1.0,311.82847849418755,11.0,34.0,2.5106234550476074,35.0,115.93727303045043,336.0,250.0,371.0,311.82847849418755,0.0
12,0.0,0.0,1.7134211499999878,1.6758267499999988,1.7210582000000159,0.050500250000027336,0.014119649999997819,0.01874129999998786,0.2164457,1.0,136.0514608521349,37.0,61.0,10.902582168579102,62.0,66.5935748461789,336.0,250.0,371.0,136.0514608521349,0.0
13,0.0,0.0,1.0894480499999872,1.150660749999986,1.1520934999999781,0.0534262499999727,0.012466799999970135,0.013761699999975008,0.3992473,112.16505694733989,224.8399430706208,66.0,90.0,43.039485931396484,91.0,161.46448400670872,336.0,250.0,371.0,224.8399430706208,0.0
14,0.0,0.0,1.8999188000000231,1.9420671999999968,1.935839699999974,0.04413819999996349,0.03326950000001716,0.01878535000003012,0.3637625,28.903597132648677,156.556698994326,25.0,60.0,7.040574073791504,61.0,84.88179969141952,336.0,250.0,371.0,156.556698994326,0.0
15,0.0,0.0,5.650218349999989,5.618657299999995,5.613081999999963,0.046944650000000365,0.014605850000009468,0.02198334999997087,0.3967578,12.806248474865697,192.27844392963036,47.0,65.0,18.56029510498047,76.0,78.99152639145665,336.0,250.0,371.0,192.27844392963036,0.0
16,0.0,0.0,5.892406149999999,5.928663350000022,5.847172950000015,0.05360070000000405,0.015142000000025746,0.03644480000002659,0.3178641,6.0,305.8414621989635,35.0,97.0,7.090909481048584,96.0,106.31858928937616,336.0,250.0,371.0,305.8414621989635,0.0
17,0.0,0.0,5.45548249999996,5.474477899999954,5.499157050000008,0.06018984999997201,0.01674860000002809,0.02350415000000794,0.2860455,3.0,328.28189106315324,102.0,140.0,40.29641342163086,150.0,130.62480123407522,336.0,250.0,371.0,328.28189106315324,0.0
18,0.0,0.0,5.687159599999973,5.664331199999992,5.68591895000003,0.040454399999987345,0.019425700000056167,0.021901749999983622,0.1024013,1.0,311.82847849418755,11.0,34.0,2.5101637840270996,35.0,115.93727303045048,336.0,250.0,371.0,311.82847849418755,0.0
19,0.0,0.0,5.58453535000001,5.625394350000079,5.552157700000066,0.046376049999935276,0.033739949999926466,0.021909600000071805,0.3945855,12.806248474865697,192.27844392963036,46.0,65.0,18.56029510498047,76.0,78.99152639145667,336.0,250.0,371.0,192.27844392963036,0.0
20,0.0,0.0,2.4489911499999835,2.4645751499999733,2.4055518999999776,0.01667910000003303,0.019326200000023164,0.023570199999994657,0.5341535,161.63047359258007,276.00543472910095,100.0,150.0,32.710323333740234,151.0,207.06531117152937,346.0,299.0,611.0,276.00543472910095,0.0
21,0.0,0.0,4.996230849999961,5.0262484999999515,5.055850000000078,0.06080484999995406,0.029685249999943153,0.04059545000006892,0.4138297,1.0,247.5863485735835,44.0,113.0,9.290090560913086,117.0,89.26868311014626,346.0,299.0,611.0,247.5863485735835,0.0
22,0.0,0.0,1.869520849999958,1.883035399999926,1.9092235000000528,0.05912654999997358,0.021015349999970567,0.025415850000058526,0.352528,1.0,133.91415160467545,62.0,98.0,17.72349739074707,99.0,67.46454211333939,346.0,299.0,611.0,133.91415160467545,0.0
23,0.0,0.0,10.899630849999994,10.886714650000044,10.80473619999998,0.019681249999962347,0.025716249999959473,0.035952599999973245,0.6176365,8.246211251235321,305.38664017929796,62.0,166.0,11.218389511108398,167.0,134.1339538979911,346.0,299.0,611.0,305.38664017929796,0.0
24,0.0,0.0,2.452476499999989,2.445807400000035,2.400790949999987,0.043305099999997765,0.038171899999952075,0.023940700000025572,0.5566625,161.63047359258007,276.00543472910095,99.0,150.0,32.883026123046875,151.0,207.0653111715294,346.0,299.0,611.0,276.00543472910095,0.0
25,0.0,0.0,6.230751549999923,6.266416700000036,6.353205450000019,0.05175214999997024,0.02832805000002736,0.040690699999913704,0.6511969,215.46295039097765,502.39924363000387,122.0,183.0,51.710540771484375,184.0,333.040483336634,346.0,299.0,611.0,502.39924363000387,0.0
26,0.0,0.0,1.308536600000025,1.3667195499999707,1.3751933500000177,0.04927084999997078,0.022136950000003708,0.022634299999936047,0.4185339,92.01086892318754,188.8915032498815,91.0,129.0,52.71662521362305,130.0,134.32685690811599,346.0,299.0,611.0,188.8915032498815,0.0
27,0.0,0.0,10.241285300000072,10.14700264999999,10.253046049999966,0.024125300000036987,0.02950905000000148,0.03629620000003797,0.7667561,5.830951894845301,533.6937323971493,156.0,231.0,53.211387634277344,232.0,253.62449193636428,346.0,299.0,611.0,533.6937323971493,0.0
28,0.0,0.0,4.992599199999972,4.995582350000063,5.046360349999986,0.039011400000049434,0.02528410000002168,0.04108065000002625,0.4520841,1.0,247.5863485735835,44.0,113.0,9.29008960723877,117.0,89.26868311014627,346.0,299.0,611.0,247.5863485735835,0.0
29,0.0,0.0,6.346119899999962,6.222928249999995,6.340709249999918,0.02362395000000106,0.028108999999972184,0.04054699999994682,0.5801497,215.46295039097765,502.39924363000387,122.0,183.0,51.710540771484375,184.0,333.04048333663394,346.0,299.0,611.0,502.39924363000387,0.0
30,0.0,0.0,4.933614449999936,4.8525966500000095,4.8759747999999945,0.03738005000002431,0.02528715000005377,0.03814859999999953,0.3990852,33.71943060017473,330.06968961114865,44.0,97.0,13.551837921142578,98.0,159.71348735320305,346.0,299.0,611.0,330.06968961114865,0.0
31,0.0,0.0,11.122861000000057,11.157072900000003,11.268106349999925,0.05926175000013245,0.02860999999984415,0.04892539999991641,0.3200472,1.0,303.8321905262838,6.0,75.0,2.075669527053833,76.0,54.040808257391916,346.0,299.0,611.0,303.8321905262838,0.0
32,0.0,0.0,1.8292977999999493,1.8666023999999197,1.8866659000000254,0.017628699999931996,0.029636199999913515,0.024406750000025568,0.4636949,1.0,133.91415160467545,62.0,98.0,17.73509979248047,99.0,67.46454211333939,346.0,299.0,611.0,133.91415160467545,0.0
33,0.0,0.0,1.3017812000000504,1.3637210499998673,1.3750185500000498,0.04796839999994518,0.0200036999999611,0.02159849999998187,0.4188398,92.01086892318754,188.8915032498815,91.0,129.0,52.71663284301758,130.0,134.326856908116,346.0,299.0,611.0,188.8915032498815,0.0
